block,timestamp,date,price_scale,price_oracle,price_effective,price_lusd3crv,balances_blusd,balances_lusd_3crv,lp_supply,xcp_profit,virtual_price,fee,volume,sold_id,tokens_sold,bought_id,tokens_bought
15922907,1667881499,2022-11-08T04:24:59.000Z,0.8059668294414711,0.8179875834551419,0.8196291524795367,0.9841033867919402,2269405.6713265483,2712988.7260619504,2477158.1034989995,1.0036113965166902,1.0018059822590475,0.0037406664,6203.729257027813,0,5000,1,6100.319864019029
15923044,1667883155,2022-11-08T04:52:35.000Z,0.8059668294414711,0.8193868173564699,0.8254299467935915,0.9839801056910391,2280038.480879805,2700107.185242454,2477167.0224027093,1.00361368505688,1.0018118606865443,0.0039346766,13192.614341988407,0,10632.809553256477,1,12881.540819496504
15923443,1667887967,2022-11-08T06:12:47.000Z,0.8059668294414711,0.825406665809475,0.8303844723774793,0.9841675876381831,2282578.6530902805,2697048.1537998226,2477168.8885336723,1.0036151944555844,1.0018141193648435,0.0039713294,3151.708132003402,0,2540.1722104756836,1,3059.031442631507
15924327,1667898623,2022-11-08T09:10:23.000Z,0.8059668294414711,0.8350557737532257,0.8314827594414596,0.9709357235966855,2281722.909784891,2676155.1584709417,2467175.923071489,1.0036209073545537,1.0018226682152258,0.0040719659,1029.177449168111,1,1029.177449168111,0,855.7433053892235
15924446,1667900063,2022-11-08T09:34:23.000Z,0.8059668294414711,0.8321597190711301,0.8304125538591087,0.9745910385667282,2280020.0228047273,2678205.8102490855,2467177.083573713,1.0036218498240876,1.0018240785421846,0.0040536313,2050.6517781437037,1,2050.6517781437037,0,1702.8869801640355
15924988,1667906591,2022-11-08T11:23:11.000Z,0.8059668294414711,0.8294442571427312,0.8359710844928807,0.9759223488734563,2280020.0228047273,2678961.319811353,2467521.0886740466,1.0036228650273868,1.0018255977103974,0.0040500957,205.13006347747677,0,165.32802688406966,1,197.76763808088103
15925521,1667912999,2022-11-08T13:09:59.000Z,0.8059668294414711,0.8288251178886737,0.821683993345031,0.9804578074072295,2263269.210550094,2702470.562679743,2468950.6360497796,1.0036312387579893,1.0018381283219722,0.0037688856,20385.954199304182,1,20385.954199304182,0,16750.81225463316
15925953,1667918183,2022-11-08T14:36:23.000Z,0.8093769438221073,0.8168044022287287,0.8219401159981786,0.9808189801326508,2263695.372137593,2701959.263759,2468944.365144611,1.0036343110487567,1.001818669593514,0.0036718934,526.5304265852894,0,426.16158749895203,1,518.4825259215069
15927480,1667936615,2022-11-08T19:43:35.000Z,0.8111744819563467,0.8079112138330259,0.8126889038468108,0.9827801717727261,2155870.4829883063,2680313.34402502,2399304.963570092,1.0036982416435989,1.001895379280117,0.0027373517,18604.662047462487,0,15091.627098323286,1,18569.99280645772
15927674,1667938943,2022-11-08T20:22:23.000Z,0.8114124653047379,0.8123643986983035,0.8077832960546102,0.9819132853167654,2145840.720242523,2692729.746783991,2399304.963570092,1.003705445848096,1.0019037335536327,0.0030966761,12416.402758970946,1,12416.402758970946,0,10029.762745783108
15927819,1667940707,2022-11-08T20:51:47.000Z,0.8103518636680841,0.8085218020914952,0.8129386170477785,0.9817191093019305,2162716.932859217,2649942.2590795476,2389393.2726564626,1.003722456348426,1.0019199734617295,0.0026990718,20825.7836790834,0,16876.212616693603,1,20759.51647859994
15928412,1667947895,2022-11-08T22:51:35.000Z,0.8108689956686596,0.8129375236709612,0.8128565139524618,0.9726415378571608,2163275.7474966543,2649254.7888706666,2389393.2726564626,1.0037228125952857,1.0019192188004826,0.0026959215,689.1552648111824,0,558.8146374372126,1,687.4702088810395
15928532,1667949335,2022-11-08T23:15:35.000Z,0.8112695690197592,0.8128718624241582,0.8147886634476237,0.9726736268913428,2180150.2271488006,2628544.535513992,2389393.2726564626,1.0037357012838157,1.0019297577699775,0.0032595652,20800.089509749196,0,16874.479652146645,1,20710.253356674704
15933209,1668005867,2022-11-09T14:57:47.000Z,0.8213994305988421,0.8346322913152631,0.7908381218235415,0.9784273457185068,1981473.2747873454,2741445.042419341,2327262.648825413,1.0039585222544105,1.0021188317371723,0.0043985702,220357.1810943271,1,220357.1810943271,0,174266.85922696767
15933223,1668006035,2022-11-09T15:00:35.000Z,0.8225008658402237,0.8269066068057506,0.7401950356914928,0.9783996897882616,1983189.9679191196,2739125.7980999434,2327262.648825413,1.0039605441573152,1.0021270775414077,0.0043980104,2087.162704710868,0,1716.6931317741123,1,2319.244319398024
15933234,1668006167,2022-11-09T15:02:47.000Z,0.8209292115412113,0.8146425943451621,0.7455700262819586,0.9782039638177259,1995313.1848376628,2722865.4650779734,2327262.648825413,1.0039739504358431,1.0021311746603647,0.0043732361,14767.676369784804,0,12123.216918543218,1,16260.333021969525
15933307,1668007043,2022-11-09T15:17:23.000Z,0.8096027592815889,0.7744365551314882,0.754012836924343,0.9782660351493708,1997016.0718178267,2711617.3637464084,2323371.5908288537,1.0039800138744042,1.0020662919175214,0.0043229129,2103.3611368557013,0,1702.8869801640355,1,2258.4323459401553
15933325,1668007259,2022-11-09T15:20:59.000Z,0.8016674624049105,0.7699262748981971,0.7564236139620659,0.9782253728306749,1999580.7173378794,2708226.8753048596,2323371.5908288537,1.0039828775308397,1.0020154880431962,0.0042725399,3199.138845374885,0,2564.6455200526593,1,3390.488441548408
15933786,1668012839,2022-11-09T16:53:59.000Z,0.7969327617830134,0.7779939592954248,0.8020377344353739,0.9786842295867106,2140802.490803165,2656830.5734908246,2380177.1081512137,1.0038569737649214,1.0019989308620487,0.0028219715,51725.53500380406,0,41221.77346528551,1,51396.30181403522
15933806,1668013079,2022-11-09T16:57:59.000Z,0.7921509856873643,0.7837208158409835,0.7969839842055164,0.9786275981264968,2144884.863347727,2667959.8236619835,2387408.332335678,1.003863787031804,1.002019387166528,0.0029643696,5153.528327708081,0,4082.3725445617106,1,5122.276765236726
15933898,1668014207,2022-11-09T17:16:47.000Z,0.7923969080080098,0.7933805972905912,0.7959427859617171,0.9774809525976701,2150011.4820264466,2661518.884980033,2387408.332335678,1.0038676061059981,1.002021855283272,0.0031462986,6469.761084262523,0,5126.618678720171,1,6440.938681950375
15935724,1668036287,2022-11-09T23:24:47.000Z,0.7931060835987469,0.7959427859616958,0.7974563820138045,0.9722946152919725,2156592.2693336825,2653266.6627197796,2387408.332335678,1.0038729872641725,1.0020225105915832,0.0033514782,8297.486859986288,0,6580.787307235789,1,8252.222260253817
15936316,1668043439,2022-11-10T01:23:59.000Z,0.7977648262661872,0.8077769199308751,0.8122347174011483,0.9743204660968235,2158114.373990913,2595529.241961933,2362408.3323356775,1.0038934063404967,1.0020041188240376,0.0038359419,1907.9616036146542,0,1522.1046572302005,1,1873.971432913351
15939076,1668076751,2022-11-10T10:39:11.000Z,0.8033034551799262,0.8138820791266074,0.8153292463017825,0.9760926534521114,2159157.065049105,2585801.833542177,2358604.574574575,1.0038999967306512,1.001964057037225,0.0037769993,1298.0039503983767,0,1042.6910581922095,1,1278.8588940255827
15939089,1668076907,2022-11-10T10:41:47.000Z,0.8033034551799262,0.8141207344637299,0.8167072688446284,0.9762701262991634,2161201.039740537,2583299.131816107,2358646.261345608,1.0038664279535665,1.0019481934645271,0.0038197099,2544.461471255735,0,2043.9746914319303,1,2502.70172607069
15939112,1668077183,2022-11-10T10:46:23.000Z,0.8033034551799262,0.8148268938755838,0.8179694278737487,0.9762435381417649,2162959.4443710293,2581149.412559407,2358647.2115893443,1.0038672352778002,1.0019494013655323,0.0038539865,2188.96684578339,0,1758.404630492102,1,2149.7192567000275
15941987,1668111899,2022-11-10T20:24:59.000Z,0.8063970490181089,0.8049389025250331,0.8090493170188496,0.9780333010635359,2056907.6186600327,2528184.478794343,2275811.61910509,1.0039372746505553,1.0020273780142315,0.0027500335,15213.648066540818,0,12268.240905658575,1,15163.773885705836
15942300,1668115655,2022-11-10T21:27:35.000Z,0.8069167758759958,0.8089956833075431,0.803276669504888,0.9794017956969592,2024116.338711563,2569006.3788859774,2275811.61910509,1.0039639553299908,1.0020573454478603,0.0033259214,40821.90009163497,1,40821.90009163497,0,32791.27994846982
15942504,1668118115,2022-11-10T22:08:35.000Z,0.8066790084595648,0.8047119057856748,0.8086942065285158,0.9789366923929371,2084409.5609498024,2569429.6267857905,2309452.9044182673,1.0039843114852935,1.0020801186396262,0.0026633052,38021.15594538329,0,30670.868378508276,1,37926.41041682394
15944635,1668143879,2022-11-11T05:17:59.000Z,0.8074638386659585,0.8089910010363736,0.8105931193115737,0.9788591673437473,2085527.7228392563,2538476.1507430463,2296177.79457922,1.003992883997217,1.0020847779419453,0.0030669703,1384.7826192455534,0,1118.161889453915,1,1379.4366900172497
15944747,1668145223,2022-11-11T05:40:23.000Z,0.8080218654874102,0.8102539727732169,0.8113110507401088,0.9846938581606769,2088809.77371846,2534430.7838320327,2296177.79457922,1.003995432581921,1.0020841487982,0.003167356,4061.834239131552,0,3282.0508792037117,1,4045.3669110135997
15948333,1668188531,2022-11-11T17:42:11.000Z,0.80867970253795,0.8113110507401087,0.8118983369328323,0.9873758635897475,2088924.1894501229,2534289.860114791,2296177.79457922,1.0039957100488168,1.0020807655041222,0.0031389821,141.48460917696676,0,114.41573166292758,1,140.9237172416983
